setup_ns,run_ns,peak_mem
289611,47021618,456130560
366047,48406953,456130560
342060,47876475,456130560
308597,47235164,456130560
284481,46807221,456130560
286976,46309634,456130560
276456,47415177,456130560
308127,48248131,456130560
299730,47688868,456130560
285202,47114966,456130560
284771,46669599,456130560
277929,46273926,456130560
276395,45903221,456130560
274632,46428811,456130560
297677,48174261,456130560
298728,48687718,456130560
298177,48420780,456130560
286735,47639765,456130560
279312,47114334,456130560
278299,46656514,456130560
282478,46246814,456130560
276236,45885036,456130560
277137,45872653,456130560
278950,45920694,456130560
283740,45967563,456130560
272659,45924601,456130560
267268,45927637,456130560
272198,45900766,456130560
274933,45894595,456130560
284381,45992000,456130560
266206,45963376,456130560
275634,45905114,456130560
276687,45963776,456130560
